tipo;categoria ;descricao;data_inicio;previsao_conclusao;valor_previsto;Valor alterado R$;valor_atualizado;situacao;percentual_execucao;;
 -; Outros; PAVIMENTAÇÃO DE LOMBADAS EM PAVER, DE ACORDO COM A NECESSIDADE; 30/05/2018; -;R$ 18.396,44;R$ 0,00;R$ 18.396,44; -;100;;
 -; Outros; AVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, SINALIZAÇÃO E OUTROS NA RUA QUINTINO MANOEL DOMINGOS - TRECHO 01; 17/05/2018; -;R$ 337.548,36;R$ 0,00;R$ 337.548,36; -; 39.43;;
 -; Outros; SERVIÇO DE ENGENHARIA PARA A EXECUÇÃO DE REFORMA E AMPLIAÇÃO DO CENTRO DE ENSINO INFANTIL (C.E.I) TIA BENTA; 16/03/2018; -;R$ 45.980,43;R$ 0,00;R$ 45.980,43; -;100;;
 -; Outros; Estacionamento domingos da silva parte 02; 02/01/2018; -;R$ 88.353,19;R$ 0,00;R$ 88.353,19; -;100;;
 -; Outros; CONSTRUÇÃO DO LIXÃO MUNICIPAL; 23/04/2003; -; -; -; -; -; -;;
 -; Outros; CONSTRUÇÃO DO LIXÃO MUNICIPAL; 23/04/2003; -; -; -; -; -; -;;
 -; Outros; Construção da garagem municipal; 25/02/2003; -;R$ 15.615,67;R$ 0,00;R$ 15.615,67; -;100;;
 -; Outros; Pavimentação c/pedras irregulares; 25/02/2003; -;R$ 3.000,00;R$ 0,00;R$ 3.000,00; -;100;;
 -; Outros; Construção de uma sala de aula no Centro de Integração Professor Darcy Ribeiro.; 27/12/2002; -; -; -; -; -; -;;
 -; Outros; Pavimentação da avenida inter praias; 29/10/2002; -;R$ 57.807,70;R$ 0,00;R$ 57.807,70; -;100;;
 -; Outros; pavimentação com pedra irregular com drenagem pluvial; 29/10/2002; -;R$ 55.488,00;R$ 0,00;R$ 55.488,00; -; 7.61;;
 -; Outros; Serviço de infra estrutura urbana e drenagem pluvial; 29/10/2002; -;R$ 66.461,63;R$ 0,00;R$ 66.461,63; -;100;;
 -; Outros; Construção do Terminal Rodoviario Municipal; 24/09/2002; -;R$ 91.000,00;R$ 0,00;R$ 91.000,00; -;100;;
 -; Outros; Aterro e revestimento com saibro em estradas municipais; 29/07/2002; 29/09/2002; -; -; -; -; -;;
 -; Outros; Construção de abrigos de passageiros de ônibus nas ruas e estradas municipais.; 05/07/2002; 31/10/2002;R$ 12.598,60;R$ 0,00;R$ 12.598,60; -;100;;
 -; Outros; pavimentação com pedra irregular com drenagem pluvial; 05/07/2002; 30/09/2002;R$ 28.119,00;R$ 0,00;R$ 28.119,00; -;100;;
 -; Outros; Recuperação de lavadouros e muros de arimo; 05/07/2002; 06/09/2002;R$ 71.589,51;R$ 0,00;R$ 71.589,51; -;100;;
 -; Outros; PAVIMENTAÇÃO COM PEDRAS IRREGULARES NA RUA DAS ORQUIDEAS; 14/06/2002; 31/07/2002;R$ 33.215,44;R$ 0,00;R$ 33.215,44; -;100;;
 -; Outros; Pavimentação com pedras irregulares de ruas diversas; 04/01/2002; 30/09/2002;R$ 42.380,00;R$ 0,00;R$ 42.380,00; -;100;;
