rel_entidade;tipo;natureza;identificacao;descricao;data_aquisicao;rel_orgao;situacao;valor_atual;tipo_aquisicao
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10217; CADEIRA DIRET FIXA TRAPEZIO C/B COR C/PRANC LD. C/AM C/C T.; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10218; CADEIRA DIRET. FIXA TRAPEZIO C/B COR. C/PRANC LD C/AM C/C T.; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10219; CADEIRA AIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10220; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10221; CADEIRA DIRET FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10222; CADEIRA DIRET. FIXA TRAPEXIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10223; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10224; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10225; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10226; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10227; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10228; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10229; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10230; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
