id_receita;Rubrica natureza;Descrição natureza receita;Categoria econômica;Origem da receita;Especie da receita;Tipo da receita;Rubrica receita;Alínea da receita;Subalínea da receita;Desdobramento nível 1;Desdobramento nível 2;Desdobramento nível 3;Finalidade da receita;Forma de ingresso;rel_orgao;Unidade;Organograma;Valor orçado R$;Orçado atualizado R$;Orçado deduções R$;Valor lançado mês;Valor arrecadado mês;Valor arrecadado acumulado até o mês;Orçado líquido atualizado R$;Realizado (%);ano
117;1,32E+13; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.610,33;R$ 108.030,80;R$ 0,00;0.0;2024
118;1,32E+13; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.003,12;R$ 115.033,92;R$ 0,00;0.0;2024
119;1,32E+13; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.573,35;R$ 119.607,27;R$ 0,00;0.0;2024
120;1,32E+13; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Rec. de Remun. Dep. Banc/Vinculados - Convênios Estado; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.348,91;R$ 126.956,18;R$ 0,00;0.0;2024
121;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.432,16;R$ 2.432,16;R$ 0,00;0.0;2024
122;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.540,96;R$ 3.973,12;R$ 0,00;0.0;2024
123;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.824,42;R$ 6.797,54;R$ 0,00;0.0;2024
124;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.362,31;R$ 10.159,85;R$ 0,00;0.0;2024
125;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.614,59;R$ 12.774,44;R$ 0,00;0.0;2024
126;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 765,08;R$ 13.539,52;R$ 0,00;0.0;2024
127;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.777,98;R$ 17.317,50;R$ 0,00;0.0;2024
128;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.710,57;R$ 19.028,07;R$ 0,00;0.0;2024
129;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 852,31;R$ 19.880,38;R$ 0,00;0.0;2024
130;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 628,82;R$ 20.509,20;R$ 0,00;0.0;2024
131;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 533,61;R$ 21.042,81;R$ 0,00;0.0;2024
132;1,32E+13; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; ; Juros e Correções Monetárias; Remuneração de Depósitos Bancários; Não se aplica; Remun. Dep. Banc. Transf. União Sec. Prot. e Defesa Civil - Restabelecimento; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;-R$ 1.422,76;R$ 19.620,05;R$ 0,00;0.0;2024
133;1,12E+13; TPS - Taxa de Limpeza Púlbica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Principal; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; TPS - Taxa de Limpeza Púlbica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.524,82;R$ 412.554,57;R$ 0,00;0.0;2024
134;1,12E+13; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.680,32;R$ 7.941,30;R$ 0,00;0.0;2024
135;1,11E+13; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.454,39;R$ 9.243,32;R$ 0,00;0.0;2024
136;1,75E+13; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Receitas Correntes; Transferências Correntes; Transferências de Outras Instituições Públicas; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; Não se aplica; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.502.312,79;R$ 13.683.165,05;R$ 0,00;0.0;2024
137;1,12E+13; TPS - Taxa de Limpeza Púlbica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Principal; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; TPS - Taxa de Limpeza Púlbica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.818,33;R$ 418.540,81;R$ 0,00;0.0;2024
138;1,75E+13; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Receitas Correntes; Transferências Correntes; Transferências de Outras Instituições Públicas; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; Não se aplica; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.497.799,76;R$ 15.180.964,81;R$ 0,00;0.0;2024
139;1,11E+13; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.361,48;R$ 17.362,76;R$ 0,00;0.0;2024
140;1,12E+13; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.460,59;R$ 12.069,25;R$ 0,00;0.0;2024
141;1,12E+13; TPS - Taxa de Limpeza Púlbica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Principal; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; TPS - Taxa de Limpeza Púlbica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.088,82;R$ 420.629,63;R$ 0,00;0.0;2024
142;1,12E+13; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.113,59;R$ 13.182,84;R$ 0,00;0.0;2024
143;1,75E+13; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Receitas Correntes; Transferências Correntes; Transferências de Outras Instituições Públicas; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; Não se aplica; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.556.408,83;R$ 16.737.373,64;R$ 0,00;0.0;2024
144;1,11E+13; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.679,79;R$ 20.042,55;R$ 0,00;0.0;2024
145;1,11E+13; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Impostos sobre Produção, Circulação e Serviços; Impostos sobre Serviços; Imposto sobre Serviços de Qualquer Natureza - ISSQN; Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.424,77;R$ 21.467,32;R$ 0,00;0.0;2024
146;1,75E+13; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Receitas Correntes; Transferências Correntes; Transferências de Outras Instituições Públicas; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB; Não se aplica; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Princ; Arrecadações; SECRETARIA DE EDUCAÇÃO; DIRETORIA DE ENSINO; SECRETARIA DE EDUCAÇÃO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.654.538,30;R$ 18.391.911,94;R$ 0,00;0.0;2024
147;1,12E+13; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.774,53;R$ 14.957,37;R$ 0,00;0.0;2024
148;1,12E+13; TPS - Taxa de Limpeza Púlbica; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxas pela Prestação de Serviços em Geral - Principal; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; ; Taxas pela Prestação de Serviços; Taxas pela Prestação de Serviços; Não se aplica; TPS - Taxa de Limpeza Púlbica; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.933,74;R$ 422.563,37;R$ 0,00;0.0;2024
149;1,11E+13; Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Impostos; Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora; Impostos sobre o Patrimônio; Imposto sobre a Propriedade Predial e Territorial Urbana; ; Impostos sobre o Patrimônio; Imposto sobre a Propriedade Predial e Territorial Urbana; Não se aplica; Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS;R$ 88.370,00;R$ 88.370,00;R$ 0,00;R$ 0,00;R$ 3.846,56;R$ 3.846,56;R$ 88.370,00;4.35;2024
