rel_entidade;nome_do_programa;funcao;descricao_programa;c�digo_da_despesa;valor_or�ado_despesa;valor_atualizado_despesa;empenhado_atualizado_da_despesa;liquido_atualizado_da_despesa;valor_pago_atualizado_despesa
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Reserva de Contingência; Reserva de Contingência; Reserva de Contingência;147;R$ 10.500,00;R$ 10.500,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Vias Urbanas; Urbanismo; Pavimentação de Vias Urbanas;148;R$ 0,00;R$ 865.689,06;R$ 785.181,56;R$ 438.657,71;R$ 438.657,71
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Equipamento p/Escolas do Ensino Fundamental;149;R$ 0,00;R$ 11.600,00;R$ 11.600,00;R$ 11.600,00;R$ 11.600,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Esporte Cidadão; Desporto e Lazer; Construção de Equipamentos Poliesportivos;150;R$ 0,00;R$ 168.000,00;R$ 168.000,00;R$ 168.000,00;R$ 168.000,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Ampliação da Rede de Abastecimento de Água;51;R$ 1.982.998,00;R$ 1.982.998,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Saneamento é Saúde; Saneamento; Coleta e Destinação Final do Lixo;52;R$ 551.200,00;R$ 551.200,00;R$ 550.200,12;R$ 550.200,12;R$ 550.200,12
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Programa de Alimentação Escolar;53;R$ 105.000,00;R$ 250.000,00;R$ 247.930,21;R$ 247.930,21;R$ 217.893,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Programa de Alimentação Escolar;54;R$ 201.060,00;R$ 201.060,00;R$ 158.451,31;R$ 158.451,31;R$ 145.485,13
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Fundamental;55;R$ 50.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Fundamental;56;R$ 250.000,00;R$ 407.911,85;R$ 380.736,19;R$ 380.736,19;R$ 327.499,19
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Fundamental;57;R$ 250.000,00;R$ 250.000,00;R$ 199.684,74;R$ 199.684,74;R$ 199.684,74
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Equipamento p/Escolas do Ensino Fundamental;58;R$ 100.000,00;R$ 824,51;R$ 824,50;R$ 824,50;R$ 824,50
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Aquisição de Veículos p/Educação;59;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Aquisição de Veículos p/Educação;60;R$ 100.000,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção da Secretaria de Educação;61;R$ 265.000,00;R$ 288.000,00;R$ 287.667,47;R$ 287.667,47;R$ 279.040,20
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção da Secretaria de Educação;62;R$ 100.000,00;R$ 84.000,00;R$ 83.724,52;R$ 83.724,52;R$ 81.840,54
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção da Secretaria de Educação;63;R$ 10.000,00;R$ 3.000,00;R$ 2.619,00;R$ 2.619,00;R$ 2.619,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;64;R$ 30.000,00;R$ 125.000,00;R$ 124.497,23;R$ 124.497,23;R$ 88.562,02
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;65;R$ 1.059.000,00;R$ 1.059.000,00;R$ 937.549,62;R$ 937.549,62;R$ 924.669,30
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;66;R$ 1.789.000,00;R$ 2.018.000,00;R$ 1.995.168,97;R$ 1.995.168,97;R$ 1.967.837,92
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;67;R$ 1.200,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;68;R$ 204.664,00;R$ 204.664,00;R$ 121.193,26;R$ 121.193,26;R$ 121.193,26
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;69;R$ 40.254,00;R$ 46.254,00;R$ 44.586,10;R$ 44.586,10;R$ 39.942,31
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;70;R$ 140.000,00;R$ 140.000,00;R$ 134.590,33;R$ 134.590,33;R$ 122.383,72
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;71;R$ 359.665,00;R$ 440.365,00;R$ 440.214,73;R$ 440.214,73;R$ 399.111,63
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Fundamental;72;R$ 2.000,00;R$ 2.000,00;R$ 1.830,00;R$ 1.830,00;R$ 1.830,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Auxílio a Estudantes do Ensino Médio;73;R$ 6.000,00;R$ 20.900,00;R$ 17.100,00;R$ 17.100,00;R$ 17.100,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Auxílio a Estudantes do Ensino Superior;74;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00;R$ 30.000,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Infantil;75;R$ 50.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Infantil;76;R$ 250.000,00;R$ 146.634,51;R$ 96.634,51;R$ 96.634,51;R$ 96.634,51
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Ampl. e Reforma da Rede Física do Ensino Infantil;77;R$ 300.000,00;R$ 300.000,00;R$ 74.948,05;R$ 74.948,05;R$ 74.948,05
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Equipamento p/Escolas do Ensino Infantil;78;R$ 100.000,00;R$ 16.214,00;R$ 16.214,00;R$ 16.214,00;R$ 16.214,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Equipamento p/Escolas do Ensino Infantil;79;R$ 64.063,00;R$ 64.063,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Infantil;80;R$ 100.000,00;R$ 1.066.826,98;R$ 1.066.560,37;R$ 1.066.560,37;R$ 1.012.455,73
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Infantil;81;R$ 181.366,00;R$ 671.366,00;R$ 646.613,16;R$ 646.613,16;R$ 646.613,16
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Infantil;82;R$ 1.219.690,00;R$ 1.219.690,00;R$ 1.193.195,96;R$ 1.193.195,96;R$ 1.189.201,02
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Infantil;83;R$ 223.729,00;R$ 228.729,00;R$ 217.892,91;R$ 217.892,91;R$ 210.262,43
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Ensino para Todos; Educação; Manutenção do Ensino Infantil;84;R$ 10.000,00;R$ 5.000,00;R$ 4.871,00;R$ 4.871,00;R$ 4.871,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Manutenção da Diretoria de Desenvolvimento Social;85;R$ 165.271,00;R$ 165.271,00;R$ 163.937,81;R$ 163.937,81;R$ 163.937,81
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Manutenção da Diretoria de Desenvolvimento Social;86;R$ 30.000,00;R$ 34.000,00;R$ 32.643,55;R$ 32.643,55;R$ 31.400,35
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Manutenção da Diretoria de Desenvolvimento Social;87;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Manutenção do Conselho Tutelar;88;R$ 62.000,00;R$ 62.000,00;R$ 61.913,34;R$ 61.913,34;R$ 61.085,94
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Manutenção do Conselho Tutelar;89;R$ 10.000,00;R$ 15.000,00;R$ 13.407,40;R$ 13.407,40;R$ 12.953,72
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Manutenção do Conselho Tutelar;90;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Apoio a Criança e ao Adolescente em Situação de Risco;91;R$ 4.000,00;R$ 32.000,00;R$ 28.194,59;R$ 28.194,59;R$ 24.695,24
