data;numero_empenho;rel_orgao;detalhamento_do_elemento;descricao;valor_empenhado;valor_liquido;valor_pago
 27/02/2025;831; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 26.936,02;R$ 26.936,02;R$ 26.936,02
 27/02/2025;826; SECRETARIA DE INDÚSTRIA E COMÉRCIO E SEG. PÚBLICA; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 1.218,37;R$ 1.218,37;R$ 1.218,37
 27/02/2025;843; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2025;R$ 654,59;R$ 654,59;R$ 654,59
 27/02/2025;839; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 370,60;R$ 370,60;R$ 370,60
 27/02/2025;827; SECRETARIA DE CULTURA; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 833,87;R$ 833,87;R$ 833,87
 27/02/2025;836; GABINETE DO PREFEITO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 3.005,12;R$ 3.005,12;R$ 3.005,12
 27/02/2025;835; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 833,87;R$ 833,87;R$ 833,87
 27/02/2025;828; SECRETARIA DE TURISMO  E ESPORTE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 3.165,45;R$ 3.165,45;R$ 3.165,45
 27/02/2025;830; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 19.039,66;R$ 19.039,66;R$ 19.039,66
 27/02/2025;840; GABINETE DO PREFEITO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 10.348,22;R$ 10.348,22;R$ 10.348,22
 27/02/2025;829; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 6.758,68;R$ 6.758,68;R$ 6.758,68
 27/02/2025;825; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 9.520,50;R$ 9.520,50;R$ 9.520,50
 25/02/2025;68; CÂMARA MUNICIPAL DE VEREADORES; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 52.476,92;R$ 52.476,92;R$ 52.476,92
 25/02/2025;69; CÂMARA MUNICIPAL DE VEREADORES; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 54.119,78;R$ 54.119,78;R$ 54.119,78
 25/02/2025;70; CÂMARA MUNICIPAL DE VEREADORES; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2025;R$ 13.857,56;R$ 13.857,56;R$ 13.857,56
 17/02/2025;55; CÂMARA MUNICIPAL DE VEREADORES; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 1/2025;R$ 458,65;R$ 458,65;R$ 458,65
 31/01/2025;490; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 872.332,11;R$ 872.332,11;R$ 872.332,11
