rel_entidade;numero_do_processo;ano_processo;numero_da_licitacao;ano_da_licitacao;objeto;modalide;data_de_abertura;data_de_publicacao;tipo_de_objeto;forma_de_julgamento;data_da_homologacao;situacao;data_de_anulacao;data_de_criacao;data_do_julgamento;data_da_revogacao;forma_de_contratacao;valor_estimado;valor_homologado
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;10;2026;10;2026; serviços de transmissão contínua (streaming), via internet simultânea nas redes sociais da câmara pelas plataformas Youtube/Facebook/instagram e site da Câmara https://www.camaragaivota.sc.gov.br/gravação das sessões ordinárias e extraordinárias da Câmara Municipal, bem como outras reuniões legislativas de interesse público, em atendimento ao princípio constitucional da transparência e da publicidade.; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO GLOBAL; 30/01/2026; HOMOLOGADO; -; 30/01/2026;  - ; -; Contratação direta;R$ 23.307,00;R$ 16.800,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;25;2026;10;2026; O OBJETO DA PRESENTE INEXIGIBILIDADE DE LICITAÇÃO É A LOCAÇÃO DE IMÓVEL, SENDO UMA CASA DE ALVENARIA, LOCALIZADA NOS LOTES 01 E 02 DA QUADRA E, BAIRRO SANTA RITA DE CASSIA SUL, NESTE MUNICÍPIO, DEVIDAMENTE REGISTRADO SOB O Nº 53.872, NO CARTÓRIO DE REGISTRO DE IMÓVEIS DA COMARCA DE SOMBRIO – SC. O QUAL SERVIRÁ PARA O FUNCIONAMENTO DO CONSELHO TUTELAR E BIBLIOTECA DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; Inexigibilidade de licitação; -; 16/03/2026; Locação; Sem Competitividade; 16/03/2026; HOMOLOGADO; -; 23/02/2026;  - ; -; Contratação direta;R$ 29.037,96;R$ 29.820,00
 FUNDO MUNICIPAL DE SAUDE BALNEARIO GAIVOTA;13;2026;10;2026; O objeto da presente inexigibilidade de licitação é a locação de um imóvel comercial composto por duas salas contíguas, com aproximadamente 100m², destinado à instalação do setor de Tratamento Fora do Domicílio (TFD) e do arquivo geral das Estratégias de Saúde da Família (ESF), situado na Avenida Interpraias, nº 561, bairro Santa Rita de Cássia Sul, Balneário Gaivota/SC, CEP 88955-000.; Inexigibilidade de licitação; -; 14/05/2026; Locação; Inexigibilidade de Licitação; 14/05/2026; HOMOLOGADO; -; 07/05/2026;  - ; -; Contratação direta;R$ 31.999,92;R$ 31.999,92
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;9;2026;9;2026; PELA DESPESA EMPENHA REF, AQUISIÇÃO DE MOVEIS DE ESCRITÓRIO E COZINHA; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 28/01/2026; HOMOLOGADO; -; 28/01/2026;  - ; -; Contratação direta;R$ 16.907,34;R$ 15.622,00
 FUNDO MUNICIPAL DE SAUDE BALNEARIO GAIVOTA;12;2026;9;2026; O OBJETO DA PRESENTE INEXIGIBILIDADE DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE LABORATÓRIO DE ANÁLISES CLÍNICAS PARA PRESTAÇÃO DE SERVIÇOS DE COLETA, REALIZAÇÃO E ENTREGA DE EXAMES CLÍNICOS, DESTINADOS AO ATENDIMENTO DOS USUÁRIOS DO SISTEMA ÚNICO DE SAÚDE (SUS) NA REDE MUNICIPAL DE SAÚDE DO MUNICÍPIO DE BALNEÁRIO GAIVOTA COM BASE NOS PROCEDIMENTOS E VALORES CONSTANTES NA TABELA DE EXAMES LABORATORIAIS DO SISTEMA DE INFORMAÇÕES AMBULATORIAIS DO SISTEMA ÚNICO DE SAÚDE (SIA/SUS) – TABELA UNIFICADA DE; Inexigibilidade de licitação; -; -; Prestação de serviços; Inexigibilidade de Licitação; 07/05/2026; HOMOLOGADO; -; 07/05/2026;  - ; -; Contratação direta;R$ 110.000,30;R$ 110.000,30
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;8;2026;8;2026; PELA DESPESA EMPENHA REF, AQUISIÇÃO DE GÉNEROS ALIMENTÍCIOS E PRODUTOS DE LIMPEZA E HIGIENIZAÇÃO  DE USO EXCLUSIVO DESTA CASA LEGISLATIVA; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 16/01/2026; HOMOLOGADO; -; 16/01/2026;  - ; -; Contratação direta;R$ 11.222,22;R$ 11.222,22
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;21;2026;8;2026; O OBJETO DA PRESENTE INEXIGIBILIDADE DE LICITAÇÃO É A LOCAÇÃO DE IMÓVEL, SENDO UMA CASA DE ALVENARIA DE 248.41 M² APROXIMADAMENTE, LOCALIZADA NO LOTE 05 DA QUADRA 03, BAIRRO SANTA RITA DE CASSIA SUL, SITO A RUA ERMIRIO JOSÉ COELHO, Nº 287, NESTE MUNICÍPIO, DEVIDAMENTE REGISTRADO SOB O Nº 60.566, NO CARTÓRIO DE REGISTRO DE IMÓVEIS DA COMARCA DE SOMBRIO – SC. O QUAL SERVIRÁ PARA O FUNCIONAMENTO DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; Inexigibilidade de licitação; -; 19/02/2026; Locação; Sem Competitividade; 20/02/2026; HOMOLOGADO; -; 18/02/2026;  - ; -; Contratação direta;R$ 22.800,00;R$ 22.800,00
 FUNDO MUNICIPAL DE SAUDE BALNEARIO GAIVOTA;11;2026;8;2026; O OBJETO DA PRESENTE INEXIGIBILIDADE DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE LABORATÓRIO DE ANÁLISES CLÍNICAS PARA PRESTAÇÃO DE SERVIÇOS DE COLETA, REALIZAÇÃO E ENTREGA DE EXAMES CLÍNICOS, DESTINADOS AO ATENDIMENTO DOS USUÁRIOS DO SISTEMA ÚNICO DE SAÚDE (SUS) NA REDE MUNICIPAL DE SAÚDE DO MUNICÍPIO DE BALNEÁRIO GAIVOTA COM BASE NOS PROCEDIMENTOS E VALORES CONSTANTES NA TABELA DE EXAMES LABORATORIAIS DO SISTEMA DE INFORMAÇÕES AMBULATORIAIS DO SISTEMA ÚNICO DE SAÚDE (SIA/SUS) – TABELA UNIFICADA DE; Inexigibilidade de licitação; -; -; Prestação de serviços; Inexigibilidade de Licitação; 07/05/2026; HOMOLOGADO; -; 07/05/2026;  - ; -; Contratação direta;R$ 110.000,30;R$ 110.000,30
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;7;2026;7;2026; PELA DESPESA DE AQUISIÇÃO DE MATERIAL E MAO DE OBRA PARA MANUTENÇÃO DE CONSERVAÇÃO DE  BENS IMÓVEIS; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO GLOBAL; 12/01/2026; HOMOLOGADO; -; 12/01/2026;  - ; -; Contratação direta;R$ 6.271,00;R$ 6.271,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;19;2026;7;2026; O OBJETO DA PRESENTE INEXIGIBILIDADE DE LICITAÇÃO É A LOCAÇÃO DE UM IMÓVEL COM APROXIMADAMENTE 200 M², LOCALIZADO NA RUA DOS COQUEIROS, LOTEAMENTO SANTO ANTÔNIO II, LAGOA DE FORA, DESTINADO AO FUNCIONAMENTO DO ALMOXARIFADO DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; Inexigibilidade de licitação; -; 20/02/2026; Locação; Sem Competitividade; 20/02/2026; HOMOLOGADO; -; 06/02/2026;  - ; -; Contratação direta;R$ 20.131,80;R$ 20.131,80
